Comments,Username,Created_at,Source,Like,Replies_count,Lang
We must challenge the attitudes and behaviors that contribute to a culture of sexual violence. #ChallengeTheCulture #IndiaForEquality,tree_trekker_41,10/16/2019 22:28,instagram for Android,1,0,en
"Let's create communities where survivors are supported, believed, and empowered to seek justice. #CommunitySupport #IndiaStandsByYou",floral_fantasy_58,10/16/2019 22:28,instagram Web App,0,4567,en
Sexual violence thrives in silence. Let's break the silence and demand accountability. #BreakTheSilence #IndiaSpeaksUp,sunlit_soiree_24,10/16/2019 22:28,instagram for Android,0,19,en
"Survivors, your stories matter. We're here to listen, support, and advocate for you. #YourStoryMatters #IndiaListens",natural_nirvana_73,10/16/2019 22:28,instagram for iPhone,0,0,en
"It's time to rewrite the narrative about sexual violence in India. Together, we can create a safer future. #RewriteTheNarrative #IndiaForChange",river_rambler_19,10/16/2019 22:28,instagram for iPhone,0,86,en
"We need comprehensive sex education to teach consent, boundaries, and respect from an early age. #EducationForAll #IndiaForChange",trailblazing_traveller_15,10/16/2019 22:28,instagram for Android,1,2,en
Let's create a future where every woman can walk the streets of India without fear. #SafeStreets #IndiaForAllWomen,eco_explorer_67,10/16/2019 22:28,instagram Web App,1,100,en
No woman should live in fear of sexual violence. Let's work together to create a safer India for all. #SafeIndia #IndiaRisesAgainstAssault,wild_wanderer_52,10/16/2019 22:27,instagram for Android,0,19,en
Rape is never the fault of the survivor. Let's challenge victim-blaming attitudes and hold perpetrators accountable. #NoMoreBlame #IndiaStandsStrong,outdoor_odyssey_93,10/16/2019 22:27,instagram for iPhone,0,1,en
It's time to confront the uncomfortable truths about sexual violence in India. Awareness leads to action. #AwarenessLeadsToAction #IndiaAwakens,nature_navigator_28,10/16/2019 22:27,instagram for iPhone,1,0,en
We won't stop fighting until every woman in India can live without the fear of sexual violence. #NeverStopFighting #IndiaUnitesAgainstAssault,leafy_legend_79,10/16/2019 22:27,instagram for Android,1,100,en
Let's teach our sons to respect women and treat them as equals. Change starts at home. #RaiseThemRight #IndiaForEquality,greenery_guru_34,10/16/2019 22:27,instagram for iPhone,1,1,en
"Survivors, you are not alone. We're here to listen, support, and advocate for you. #YouAreNotAlone #IndiaHearsYou",earth_essence_70,10/16/2019 22:27,instagram for iPhone,1,161,en
"Sexual violence affects everyone. Let's work together to create a safer, more inclusive society. #InclusionMatters #IndiaForAll",mountain_magic_42,10/16/2019 22:27,instagram for iPhone,0,0,en
It's time to dismantle the systems that enable and perpetuate sexual violence. We won't rest until justice is served. #SystemChange #IndiaDemandsJustice,serene_spectacle_65,10/16/2019 22:26,instagram for Android,0,81,en
"We must believe and support survivors, amplify their voices, and hold perpetrators accountable. #BelieveSurvivors #IndiaForJustice",adventure_admirer_37,10/16/2019 22:26,instagram Web App,0,51,en
"Let's prioritize the safety and well-being of women in India, starting with comprehensive policy reform. #PolicyChange #IndiaForSafety",wanderlust_wayfarer_18,10/16/2019 22:26,instagram for Android,0,1,en
Sexual violence is a violation of human dignity. Let's stand together to protect the dignity of every individual. #DignityForAll #IndiaUnitesForJustice,wilderness_wanderlust_88,10/16/2019 22:26,instagram for iPhone,0,19,en
"We need cultural shifts that prioritize consent, respect, and equality. It's time for change. #CultureShift #IndiaForProgress",tree_topper_91,10/16/2019 22:26,instagram for iPhone,0,3,en
"Survivors, your bravery inspires us. We're committed to fighting for a world where sexual violence is eradicated. #BraveWomen #IndiaForChange",bloom_broker_50,10/16/2019 22:26,instagram for Android,0,14,en
Let's educate ourselves and others about the realities of sexual violence in India. Awareness leads to action. #AwarenessForAction #IndiaSpeaksOut,natural_nomad_29,10/16/2019 22:26,instagram for iPhone,0,2,en
"No more excuses, no more silence. It's time for action to end sexual violence against women in India. #NoMoreExcuses #IndiaTakesAStand",adventure_addiction_74,10/16/2019 22:26,instagram for Android,0,24,en
We must challenge the attitudes and behaviors that contribute to a culture of sexual violence. #ChallengeTheCulture #IndiaForEquality,wanderer_of_wild_23,10/16/2019 22:25,instagram for iPhone,0,100,en
"Let's create communities where survivors are supported, believed, and empowered to seek justice. #CommunitySupport #IndiaStandsByYou",river_roving_56,10/16/2019 22:25,instagram for iPhone,1,100,en
Sexual violence thrives in silence. Let's break the silence and demand accountability. #BreakTheSilence #IndiaSpeaksUp,trail_trekker_82,10/16/2019 22:25,instagram for Android,1,0,en
"Survivors, your stories matter. We're here to listen, support, and advocate for you. #YourStoryMatters #IndiaListens",eco_enthusiasm_61,10/16/2019 22:25,instagram for iPhone,0,315,en
"It's time to rewrite the narrative about sexual violence in India. Together, we can create a safer future. #RewriteTheNarrative #IndiaForChange",wild_wonder_47,10/16/2019 22:25,instagram Web App,0,0,en
"We need comprehensive sex education to teach consent, boundaries, and respect from an early age. #EducationForAll #IndiaForChange",outdoor_observer_39,10/16/2019 22:25,instagram.io,0,0,en
Let's create a future where every woman can walk the streets of India without fear. #SafeStreets #IndiaForAllWomen,nature_nest_94,10/16/2019 22:25,instagram for Android,1,20,en
No woman should live in fear of sexual violence. Let's work together to create a safer India for all. #SafeIndia #IndiaRisesAgainstAssault,leafy_lover_67,10/16/2019 22:25,instagram Web App,0,0,en
Rape is never the fault of the survivor. Let's challenge victim-blaming attitudes and hold perpetrators accountable. #NoMoreBlame #IndiaStandsStrong,green_guard_25,10/16/2019 22:25,instagram for Android,1,2,en
It's time to confront the uncomfortable truths about sexual violence in India. Awareness leads to action. #AwarenessLeadsToAction #IndiaAwakens,earth_element_58,10/16/2019 22:25,instagram for iPhone,0,20,en
We won't stop fighting until every woman in India can live without the fear of sexual violence. #NeverStopFighting #IndiaUnitesAgainstAssault,mountain_mystery_32,10/16/2019 22:25,instagram for iPhone,0,2,en
Let's teach our sons to respect women and treat them as equals. Change starts at home. #RaiseThemRight #IndiaForEquality,serene_soul_80,10/16/2019 22:24,instagram for Android,0,100,en
"Survivors, you are not alone. We're here to listen, support, and advocate for you. #YouAreNotAlone #IndiaHearsYou",woodland_wanderer_77,10/16/2019 22:24,instagram for iPhone,0,81,en
"Sexual violence affects everyone. Let's work together to create a safer, more inclusive society. #InclusionMatters #IndiaForAll",blossom_bliss_29,10/16/2019 22:24,instagram Web App,1,0,en
It's time to dismantle the systems that enable and perpetuate sexual violence. We won't rest until justice is served. #SystemChange #IndiaDemandsJustice,natural_nectar_84,10/16/2019 22:23,instagram.io,1,41,en
"We must believe and support survivors, amplify their voices, and hold perpetrators accountable. #BelieveSurvivors #IndiaForJustice",adventure_admiral_55,10/16/2019 22:23,instagram for Android,0,0,en
"Let's prioritize the safety and well-being of women in India, starting with comprehensive policy reform. #PolicyChange #IndiaForSafety",wanderer_ways_63,10/16/2019 22:23,instagram Web App,0,0,en
Sexual violence is a violation of human dignity. Let's stand together to protect the dignity of every individual. #DignityForAll #IndiaUnitesForJustice,wilderness_whisperer_49,10/16/2019 22:23,instagram Web App,0,0,en
"We need cultural shifts that prioritize consent, respect, and equality. It's time for change. #CultureShift #IndiaForProgress",tree_triumph_12,10/16/2019 22:23,instagram Web App,0,0,en
"Survivors, your bravery inspires us. We're committed to fighting for a world where sexual violence is eradicated. #BraveWomen #IndiaForChange",floral_fascination_69,10/16/2019 22:23,instagram Web App,1,41,en
Let's educate ourselves and others about the realities of sexual violence in India. Awareness leads to action. #AwarenessForAction #IndiaSpeaksOut,sunlit_seeker_36,10/16/2019 22:23,instagram Web App,1,0,en
"No more excuses, no more silence. It's time for action to end sexual violence against women in India. #NoMoreExcuses #IndiaTakesAStand",nature_novice_78,10/16/2019 22:22,instagram Web App,0,71,en
We must challenge the attitudes and behaviors that contribute to a culture of sexual violence. #ChallengeTheCulture #IndiaForEquality,river_roamer_53,10/16/2019 22:22,instagram.io,0,0,en
"Let's create communities where survivors are supported, believed, and empowered to seek justice. #CommunitySupport #IndiaStandsByYou",trail_treader_27,10/16/2019 22:22,instagram Web App,0,6857,en
Sexual violence thrives in silence. Let's break the silence and demand accountability. #BreakTheSilence #IndiaSpeaksUp,eco_excellence_65,10/16/2019 22:22,instagram for Android,1,3291,en
"Survivors, your stories matter. We're here to listen, support, and advocate for you. #YourStoryMatters #IndiaListens",wild_wanderlust_18,10/16/2019 22:22,instagram Web App,1,4567,en
"It's time to rewrite the narrative about sexual violence in India. Together, we can create a safer future. #RewriteTheNarrative #IndiaForChange",outdoor_odyssey_47,10/16/2019 22:22,instagram for Android,0,324,en
"We need comprehensive sex education to teach consent, boundaries, and respect from an early age. #EducationForAll #IndiaForChange",nature_navigators_93,10/16/2019 22:22,instagram for iPhone,0,0,en
Let's create a future where every woman can walk the streets of India without fear. #SafeStreets #IndiaForAllWomen,leafy_locales_40,10/16/2019 22:22,instagram for iPhone,0,0,en
No woman should live in fear of sexual violence. Let's work together to create a safer India for all. #SafeIndia #IndiaRisesAgainstAssault,greenery_glory_75,10/16/2019 22:21,instagram for Android,0,5,en
Rape is never the fault of the survivor. Let's challenge victim-blaming attitudes and hold perpetrators accountable. #NoMoreBlame #IndiaStandsStrong,earth_enigma_59,10/16/2019 22:21,instagram for iPhone,1,0,en
It's time to confront the uncomfortable truths about sexual violence in India. Awareness leads to action. #AwarenessLeadsToAction #IndiaAwakens,mountain_melody_24,10/16/2019 22:21,instagram for iPhone,1,7,en
We won't stop fighting until every woman in India can live without the fear of sexual violence. #NeverStopFighting #IndiaUnitesAgainstAssault,serene_spectator_83,10/16/2019 22:21,instagram for iPhone,0,161,en
Let's teach our sons to respect women and treat them as equals. Change starts at home. #RaiseThemRight #IndiaForEquality,adventure_alchemy_16,10/16/2019 22:21,instagram for iPhone,0,8,en
"Survivors, you are not alone. We're here to listen, support, and advocate for you. #YouAreNotAlone #IndiaHearsYou",wanderlust_warrior_74,10/16/2019 22:20,instagram for Android,0,10,en
"Sexual violence affects everyone. Let's work together to create a safer, more inclusive society. #InclusionMatters #IndiaForAll",wilderness_wander_30,10/16/2019 22:20,instagram Web App,1,0,en
It's time to dismantle the systems that enable and perpetuate sexual violence. We won't rest until justice is served. #SystemChange #IndiaDemandsJustice,tree_trek_61,10/16/2019 22:20,instagram for Android,1,0,en
"We must believe and support survivors, amplify their voices, and hold perpetrators accountable. #BelieveSurvivors #IndiaForJustice",bloom_buff_98,10/16/2019 22:20,instagram for iPhone,0,100,en
"Let's prioritize the safety and well-being of women in India, starting with comprehensive policy reform. #PolicyChange #IndiaForSafety",natural_nurturing_27,10/16/2019 22:20,instagram for iPhone,0,0,en
Sexual violence is a violation of human dignity. Let's stand together to protect the dignity of every individual. #DignityForAll #IndiaUnitesForJustice,adventure_ascent_52,10/16/2019 22:20,instagram for Android,0,5,en
"We need cultural shifts that prioritize consent, respect, and equality. It's time for change. #CultureShift #IndiaForProgress",wanderer_wellness_38,10/16/2019 22:20,instagram Web App,0,0,en
"""The normalization of rape in #India's media and culture desensitizes society to the severity of this crime.""",river_roam_85,10/16/2019 22:20,instagram for Android,1,2,en
"""Every woman deserves to feel safe in her own country. #EndRapeCulture""",trailblazing_trek_20,10/16/2019 22:20,instagram for iPhone,1,1,en
"""The prevalence of sexual violence against women in India is a national crisis. #BreakTheSilence""",eco_explorer_94,10/16/2019 22:20,instagram for iPhone,0,0,en
"""We must hold perpetrators accountable and support survivors. #JusticeForWomen""",wild_wonderer_67,10/16/2019 22:20,instagram for Android,0,5,en
"""Rape is a heinous crime that scars lives forever. #EmpowerSurvivors""",outdoor_essence_72,10/16/2019 22:20,instagram for iPhone,0,19,en
"""Let's educate our society about consent and respect for women. #EducateToEradicate""",nature_nirvana_44,10/16/2019 22:20,instagram for iPhone,1,4,en
"""No woman should live in fear of sexual violence. #SafeStreetsForAll""",leafy_liberation_29,10/16/2019 22:19,instagram for iPhone,1,161,en
"""We need systemic changes to protect women from rape and assault. #SystemReform""",greenery_galaxy_58,10/16/2019 22:19,instagram for Android,0,283,en
"""Our laws must be stronger to deter and punish rapists. #LegalJustice""",earth_essentials_79,10/16/2019 22:19,instagram Web App,0,100,en
"""Rape is not just a women's issue, it's a human rights issue. #GenderEquality""",mountain_moments_30,10/16/2019 22:19,instagram for Android,0,2,en
"""Support organizations working to provide resources for survivors. #SupportSurvivors""",serene_sights_46,10/16/2019 22:19,instagram for iPhone,0,47,en
"""Violence against women should never be normalized or ignored. #BreakTheCycle""",woodland_wonders_71,10/16/2019 22:19,instagram for iPhone,1,21,en
"""Teach boys to respect women and understand the importance of consent. #EducateYouth""",blossom_blessings_57,10/16/2019 22:19,instagram for Android,1,0,en
"""Empathy and solidarity are crucial in supporting survivors of sexual violence. #StandTogether""",natural_nook_88,10/16/2019 22:19,instagram for iPhone,0,0,en
"""Let's create a culture where survivors are believed and supported. #BelieveSurvivors""",adventure_awakening_32,10/16/2019 22:18,instagram Web App,0,100,en
"""Speak up against misogyny and patriarchal attitudes that fuel rape culture. #DismantlePatriarchy""",wanderlust_way_91,10/16/2019 22:18,instagram for Android,1,2,en
"""Survivors deserve justice, compassion, and healing. #SupportSurvivors""",wilderness_wishes_78,10/16/2019 22:18,instagram for iPhone,0,0,en
"""The trauma of rape affects individuals, families, and communities. #EndTheCycle""",tree_travels_54,10/16/2019 22:18,instagram for iPhone,0,0,en
"""Rape is a violation of basic human rights and dignity. #HumanityFirst""",floral_fantasy_39,10/16/2019 22:18,instagram for Android,0,71,en
"""We must challenge the attitudes and behaviors that perpetuate rape culture. #ChallengeNorms""",sunlit_spirit_65,10/16/2019 22:17,instagram for iPhone,0,2,en
"""Rape survivors are not defined by their trauma; they are resilient and strong. #Resilience""",nature_natured_19,10/16/2019 22:17,instagram for Android,0,0,en
"""Educate yourself about consent and healthy relationships. #EducateToEmpower""",river_rhapsody_86,10/16/2019 22:17,instagram for Android,1,0,en
"""Break the silence, break the cycle of violence. #BreakTheCycle""",trail_trekking_42,10/16/2019 22:17,instagram for Android,1,59,en
"""No one should ever blame the victim for the crimes committed against them. #NoVictimBlaming""",eco_explorer_23,10/16/2019 22:17,instagram for Android,0,1704,en
"""It's time to change the narrative and support survivors without judgment. #SupportWithoutShame""",wild_wandering_70,10/16/2019 22:17,instagram for iPhone,0,1,en
"""Stand with survivors, amplify their voices, and demand justice. #StandWithSurvivors""",outdoor_ode_97,10/16/2019 22:17,instagram Web App,1,21,en
"""Rape culture thrives in silence and indifference. Let's speak out. #SpeakOut""",nature_nuances_28,10/16/2019 22:17,instagram for Android,0,100,en
"""The trauma of sexual violence can last a lifetime. Let's support survivors on their journey to healing. #HealingJourney""",leafy_lifestyle_61,10/16/2019 22:16,instagram for iPhone,0,0,en
"""Every woman has the right to bodily autonomy and safety. #RightToSafety""",greenery_gleam_54,10/16/2019 22:16,instagram for iPhone,0,6,en
"""Rape is not just a crime against an individual, it's an attack on the fabric of society. #EndRapeCulture""",earth_enchantment_78,10/16/2019 22:16,instagram for Android,0,100,en
"""Educate boys and men about healthy masculinity and respect for all genders. #HealthyMasculinity""",mountain_majesty_32,10/16/2019 22:16,instagram for iPhone,1,0,en
"""We need comprehensive sex education to prevent sexual violence. #PreventionIsKey""",serene_scapes_55,10/16/2019 22:16,instagram for iPhone,1,2,en
"""Empower women economically and socially to reduce vulnerability to violence. #EmpowerWomen""",woodland_wanderings_94,10/16/2019 22:16,instagram for Android,0,2,en
"""Rape survivors deserve access to quality healthcare, counseling, and legal support. #SupportServices""",blossom_bond_78,10/16/2019 22:16,instagram for iPhone,0,0,en
"""Let's create communities where survivors are supported, not shamed. #CommunitySupport""",natural_nestling_43,10/16/2019 22:16,instagram for iPhone,0,36,en
"""Teach children about consent, boundaries, and respect from an early age. #StartYoung""",adventure_affinity_21,10/16/2019 22:15,instagram for Android,0,7,en
"""No one asks to be raped. Let's stop victim-blaming and start holding perpetrators accountable. #EndVictimBlaming""",wanderlust_wanderer_56,10/16/2019 22:15,instagram for iPhone,0,161,en
"""We must dismantle the structures that enable and perpetuate sexual violence. #DismantleStructures""",wilderness_wisdom_83,10/16/2019 22:15,instagram Web App,1,100,en
"""Let's challenge the toxic masculinity that devalues women and promotes violence. #ChallengeToxicity""",tree_traverse_29,10/16/2019 22:15,instagram.io,1,0,en
"""Support survivors in their journey to reclaim their power and agency. #ReclaimPower""",floral_fanatic_68,10/16/2019 22:14,instagram for Android,0,2,en
"""The culture of silence around sexual violence must end. It's time to speak up. #BreakTheSilence""",sunlit_serenade_37,10/16/2019 22:14,instagram Web App,0,3,en
"""Educate yourself about the intersections of gender, race, class, and sexual violence. #Intersectionality""",nature_nurtured_79,10/16/2019 22:14,instagram for Android,1,2,en
"""Stand up against rape jokes and casual misogyny. #NoMoreJokes""",river_ripple_94,10/16/2019 22:14,instagram for iPhone,0,0,en
"""Consent is not negotiable. It's a fundamental right. #ConsentMatters""",trail_trekker_58,10/16/2019 22:14,instagram for iPhone,0,1,en
"""Let's create a future where our daughters can walk the streets without fear. #SafeFuture""",eco_escape_47,10/16/2019 22:14,instagram for Android,0,2,en
"""Support policies that prioritize the safety and rights of women and marginalized communities. #PolicyChange""",wild_wanderer_89,10/16/2019 22:14,instagram for iPhone,1,100,en
"""We must believe survivors and validate their experiences. #BelieveWomen""",outdoor_omniverse_25,10/16/2019 22:14,instagram Web App,0,50,en
"""Rape is not just a women's issue; it's a societal problem that requires collective action. #CollectiveAction""",nature_niche_60,10/16/2019 22:13,instagram.io,1,3,en
"""Our society's response to sexual violence shapes the experiences of survivors. Let's respond with empathy and support. #EmpatheticResponse""",leafy_loom_82,10/16/2019 22:13,instagram for Android,0,6,en
"""Victim-blaming perpetuates rape culture and harms survivors. Let's end it. #EndVictimBlaming""",greenery_glow_37,10/16/2019 22:13,instagram Web App,1,4567,en
"""Teach boys that masculinity is about respect, not domination. #RedefineMasculinity""",earth_entrance_74,10/16/2019 22:13,instagram Web App,0,0,en
"""We need to dismantle the systems that perpetuate gender-based violence. #DismantleSystems""",mountain_mingle_29,10/16/2019 22:13,instagram Web App,0,0,en
"""Survivors are not alone. Let's stand with them and demand justice. #StandTogether""",serene_serenity_58,10/16/2019 22:12,instagram Web App,0,315,en
"""Consent is not ambiguous. It's enthusiastic, clear, and ongoing. #EnthusiasticConsent""",woodland_ways_67,10/16/2019 22:12,instagram Web App,0,100,en
"""Every survivor's story deserves to be heard, believed, and supported. #ListenBelieveSupport""",blossom_bloomer_88,10/16/2019 22:11,instagram Web App,0,0,en
"""Educate yourself about the signs of consent and non-consent. #EducateYourself""",natural_nugget_71,10/16/2019 22:11,instagram.io,0,7,en
"""Support organizations working to end sexual violence and support survivors. #SupportOrganizations""",adventure_aura_32,10/16/2019 22:11,instagram Web App,1,100,en
"""Rape is a crime of power and control. Let's dismantle the systems that enable it. #PowerAndControl""",wanderlust_whimsy_49,10/16/2019 22:11,instagram for Android,0,1,en
"""Rape survivors are not defined by their trauma. They are strong, resilient individuals deserving of support. #StrengthAndResilience""",wilderness_wander_64,10/16/2019 22:10,instagram Web App,0,6,en
"""We must challenge the culture of silence that protects perpetrators and silences survivors. #BreakTheSilence""",tree_trekking_82,10/16/2019 22:10,instagram for Android,1,0,en
"""Survivors deserve justice, support, and healing, not shame or blame. #JusticeSupportHealing""",floral_fantasy_39,10/16/2019 22:10,instagram for iPhone,1,315,en
"""Consent is not just about saying 'no.' It's about enthusiastic and ongoing 'yes.' #EnthusiasticConsent""",sunlit_soul_56,10/16/2019 22:10,instagram for iPhone,0,100,en
"""We must hold rapists accountable and demand justice for survivors. #AccountabilityAndJustice""",nature_nature_76,10/16/2019 22:10,instagram for Android,0,65,en
"""No one should ever have to experience the trauma of sexual violence. #EndTheTrauma""",river_rhythms_28,10/16/2019 22:10,instagram for iPhone,1,100,en
"""Educate yourself about the dynamics of power and control that underlie sexual violence. #PowerAndControl""",trail_trotter_91,10/16/2019 22:09,instagram for iPhone,0,13,en
"""Let's create a culture where survivors are believed, supported, and empowered. #BelieveSupportEmpower""",eco_expedition_47,10/16/2019 22:09,instagram for iPhone,0,0,en
"""Survivors of sexual violence are not responsible for the actions of their perpetrators. #NoResponsibility""",wild_wanderlust_23,10/16/2019 22:09,instagram for iPhone,1,1,en
"""We must dismantle the structures of oppression that perpetuate sexual violence. #DismantleOppression""",outdoor_odyssey_67,10/16/2019 22:09,instagram for Android,1,0,en
"""Support survivors by listening to their stories with empathy and without judgment. #ListenWithEmpathy""",nature_nova_84,10/16/2019 22:09,instagram Web App,0,4567,en
"""Consent is a fundamental human right. Let's respect it in all interactions. #RespectConsent""",leafy_labyrinth_59,10/16/2019 22:09,instagram for Android,0,19,en
"""Rape culture thrives when we stay silent. Let's speak out and challenge it. #SpeakOutChallenge""",greenery_guru_73,10/16/2019 22:08,instagram for iPhone,0,0,en
"""We must confront the toxic masculinity that fuels violence against women. #ConfrontToxicity""",earth_entwined_32,10/16/2019 22:08,instagram for iPhone,0,86,en
"""Survivors deserve support, resources, and justice. Let's stand with them. #SupportResourcesJustice""",mountain_mirage_58,10/16/2019 22:08,instagram for Android,1,2,en
"""Let's teach our children about consent, boundaries, and respect from a young age. #TeachConsent""",serene_sense_72,10/16/2019 22:08,instagram Web App,1,100,en
"""Sexual violence is a violation of basic human rights. Let's work to end it. #EndSexualViolence""",woodland_wanderlust_39,10/16/2019 22:08,instagram for Android,0,19,en
"""We must address the root causes of sexual violence to create lasting change. #AddressRootCauses""",blossom_bright_84,10/16/2019 22:07,instagram for iPhone,0,1,en
"""Rape survivors are not alone. Let's create communities of support and solidarity. #CommunitySupportSolidarity""",natural_nomad_67,10/16/2019 22:07,instagram for iPhone,1,0,en
"""We must believe and support survivors of sexual violence. #BelieveAndSupport""",adventure_abode_29,10/16/2019 22:07,instagram for Android,1,100,en
"""Every survivor's journey to healing is unique and valid. Let's support them without judgment. #HealingJourney""",wanderlust_wild_78,10/16/2019 22:07,instagram for iPhone,1,1,en
"""Consent is not negotiable. It's mandatory in all interactions. #MandatoryConsent""",wilderness_wonder_46,10/16/2019 22:07,instagram for iPhone,1,161,en
